Från Datum Tid (UTC),Till Datum Tid (UTC),Representativ månad,Lufttemperatur,Kvalitet,Latitude,Longitude,,Tidsutsnitt:
01/06/1926 00:00,01/07/1926 00:00,1926-06,13.7,G,57.4034,18.5297,,
01/07/1926 00:00,01/08/1926 00:00,1926-07,17.1,G,57.4034,18.5297,,
01/08/1926 00:00,01/09/1926 00:00,1926-08,14.9,G,57.4034,18.5297,,
01/09/1926 00:00,01/10/1926 00:00,1926-09,11.4,G,57.4034,18.5297,,
01/10/1926 00:00,01/11/1926 00:00,1926-10,4.5,G,57.4034,18.5297,,
01/11/1926 00:00,01/12/1926 00:00,1926-11,4.3,G,57.4034,18.5297,,
01/12/1926 00:00,01/01/1927 00:00,1926-12,-1.7,G,57.4034,18.5297,,
01/01/1927 00:00,01/02/1927 00:00,1927-01,-1,G,57.4034,18.5297,,
01/02/1927 00:00,01/03/1927 00:00,1927-02,-1,G,57.4034,18.5297,,
01/03/1927 00:00,01/04/1927 00:00,1927-03,2.7,G,57.4034,18.5297,,
01/04/1927 00:00,01/05/1927 00:00,1927-04,3.7,G,57.4034,18.5297,,
01/05/1927 00:00,01/06/1927 00:00,1927-05,6.3,G,57.4034,18.5297,,
01/06/1927 00:00,01/07/1927 00:00,1927-06,12.6,G,57.4034,18.5297,,
01/07/1927 00:00,01/08/1927 00:00,1927-07,18.8,G,57.4034,18.5297,,
01/08/1927 00:00,01/09/1927 00:00,1927-08,16.8,G,57.4034,18.5297,,
01/09/1927 00:00,01/10/1927 00:00,1927-09,11.4,G,57.4034,18.5297,,
01/10/1927 00:00,01/11/1927 00:00,1927-10,6.5,G,57.4034,18.5297,,
01/11/1927 00:00,01/12/1927 00:00,1927-11,0.4,G,57.4034,18.5297,,
01/12/1927 00:00,01/01/1928 00:00,1927-12,-3.9,G,57.4034,18.5297,,
01/01/1928 00:00,01/02/1928 00:00,1928-01,-1.3,G,57.4034,18.5297,,
01/02/1928 00:00,01/03/1928 00:00,1928-02,-1.8,G,57.4034,18.5297,,
01/03/1928 00:00,01/04/1928 00:00,1928-03,-1.5,G,57.4034,18.5297,,
01/04/1928 00:00,01/05/1928 00:00,1928-04,3.9,G,57.4034,18.5297,,
01/05/1928 00:00,01/06/1928 00:00,1928-05,7.7,G,57.4034,18.5297,,
01/06/1928 00:00,01/07/1928 00:00,1928-06,10.8,G,57.4034,18.5297,,
01/07/1928 00:00,01/08/1928 00:00,1928-07,15.3,G,57.4034,18.5297,,
01/08/1928 00:00,01/09/1928 00:00,1928-08,13.8,G,57.4034,18.5297,,
01/09/1928 00:00,01/10/1928 00:00,1928-09,10.5,G,57.4034,18.5297,,
01/10/1928 00:00,01/11/1928 00:00,1928-10,6.7,G,57.4034,18.5297,,
01/11/1928 00:00,01/12/1928 00:00,1928-11,4.3,G,57.4034,18.5297,,
01/12/1928 00:00,01/01/1929 00:00,1928-12,-0.8,G,57.4034,18.5297,,
01/01/1929 00:00,01/02/1929 00:00,1929-01,-4.8,G,57.4034,18.5297,,
01/02/1929 00:00,01/03/1929 00:00,1929-02,-7.2,G,57.4034,18.5297,,
01/03/1929 00:00,01/04/1929 00:00,1929-03,0.1,G,57.4034,18.5297,,
01/04/1929 00:00,01/05/1929 00:00,1929-04,0.7,G,57.4034,18.5297,,
01/05/1929 00:00,01/06/1929 00:00,1929-05,9.4,G,57.4034,18.5297,,
01/06/1929 00:00,01/07/1929 00:00,1929-06,11.8,G,57.4034,18.5297,,
01/07/1929 00:00,01/08/1929 00:00,1929-07,15.4,G,57.4034,18.5297,,
01/08/1929 00:00,01/09/1929 00:00,1929-08,14.3,G,57.4034,18.5297,,
01/09/1929 00:00,01/10/1929 00:00,1929-09,12.1,G,57.4034,18.5297,,
01/10/1929 00:00,01/11/1929 00:00,1929-10,8.1,G,57.4034,18.5297,,
01/11/1929 00:00,01/12/1929 00:00,1929-11,4.3,G,57.4034,18.5297,,
01/12/1929 00:00,01/01/1930 00:00,1929-12,2.6,G,57.4034,18.5297,,
01/01/1930 00:00,01/02/1930 00:00,1930-01,1.3,G,57.4034,18.5297,,
01/02/1930 00:00,01/03/1930 00:00,1930-02,-1.6,G,57.4034,18.5297,,
01/03/1930 00:00,01/04/1930 00:00,1930-03,0.9,G,57.4034,18.5297,,
01/04/1930 00:00,01/05/1930 00:00,1930-04,5.5,G,57.4034,18.5297,,
01/05/1930 00:00,01/06/1930 00:00,1930-05,9.8,G,57.4034,18.5297,,
01/06/1930 00:00,01/07/1930 00:00,1930-06,14.7,G,57.4034,18.5297,,
01/07/1930 00:00,01/08/1930 00:00,1930-07,15.5,G,57.4034,18.5297,,
01/08/1930 00:00,01/09/1930 00:00,1930-08,15.1,G,57.4034,18.5297,,
01/09/1930 00:00,01/10/1930 00:00,1930-09,10,G,57.4034,18.5297,,
01/10/1930 00:00,01/11/1930 00:00,1930-10,7.9,G,57.4034,18.5297,,
01/11/1930 00:00,01/12/1930 00:00,1930-11,2.8,G,57.4034,18.5297,,
01/12/1930 00:00,01/01/1931 00:00,1930-12,0.4,G,57.4034,18.5297,,
01/01/1931 00:00,01/02/1931 00:00,1931-01,-1.7,G,57.4034,18.5297,,
